ID_Cleaned,Bike_lane ,Bike_lane_protection,Parking_on_street ,Road_speed_limit,#_lanes_on_road,Road _surface,Width_of_road,id,bicycle,bicycle_fo,bicycle__1,cyclestree,cycleway,cycleway_b,cycleway_l,cycleway_r,cycleway_w,lanes,maxspeed,oneway,oneway_bic,parking_bo,parking_le,parking_ri,segregated,separation,shoulder,surface,tram,width
4536000,,,,80,3,,,way/4536000,,,,,,,,,,3,80,yes,,,,,,,,,,
4575233,,,,60,2,paved,,way/4575233,,,,,,,,,,2,60,,,,,,,,,paved,,
4575235,,,,,2,paved,,way/4575235,,,,,,,,,,2,,yes,,,,,,,,paved,,
4575236,,,,,,paved,,way/4575236,,,,,,,,,,,,,,,,,,,,paved,,
4575237,,,,50,,paved,,way/4575237,,,,,,,,,,,50,,,,,,,,,paved,,
4575238,,,,40,,paved,,way/4575238,,,,,,,,,,,40,yes,,,,,,,,paved,,
4609047,no,,,,4,asphalt,,way/4609047,,,,,,no,,,,4,,,,,,,,,,asphalt,,
4661789,,,,,,paved,,way/4661789,,,,,,,,,,,,,,,,,,,,paved,,
4661817,,,,,,paved,,way/4661817,,,,,,,,,,,,,,,,,,,,paved,,
4661818,no,,,50,,paved,,way/4661818,,,,,,no,,,,,50,,,,,,,,,paved,,
4683726,,,,,,paved,,way/4683726,,,,,,,,,,,,,,,,,,,,paved,,
4683727,,,,,,asphalt,,way/4683727,,,,,,,,,,,,,,,,,,,,asphalt,,
4683728,,,,,1,asphalt,,way/4683728,,,,,,,,,,1,,yes,,,,,,,,asphalt,,
4683754,,,,,,paved,,way/4683754,,,,,,,,,,,,,,,,,,,,paved,,
4683755,,,,,,asphalt,,way/4683755,,,,,,,,,,,,,,,,,,,,asphalt,,
4683756,,,,,,paved,,way/4683756,,,,,,,,,,,,,,,,,,,,paved,,
4692455,no,,,100,5,paved,,way/4692455,no,,,,,,,,,5,100,yes,,,,,,,,paved,,
4692558,no,,,100,6,paved,,way/4692558,no,,,,,,,,,6,100,yes,,,,,,,,paved,,
4692560,,,,100,6,paved,,way/4692560,,,,,,,,,,6,100,yes,,,,,,,,paved,,
4692561,no,,,100,6,paved,,way/4692561,no,,,,,,,,,6,100,yes,,,,,,,,paved,,
4692562,no,,,100,5,paved,,way/4692562,no,,,,,,,,,5,100,yes,,,,,,,,paved,,
4692563,,,,100,6,paved,,way/4692563,,,,,,,,,,6,100,yes,,,,,,,,paved,,
4692564,,,,100,6,paved,,way/4692564,,,,,,,,,,6,100,yes,,,,,,,,paved,,
4692565,no,,,100,2,,,way/4692565,no,,,,,,,,,2,100,yes,,,,,,,,,,
4692566,no,,,60,2,,,way/4692566,no,,,,,,,,,2,60,yes,,,,,,,,,,
4692568,,,,60,2,asphalt,,way/4692568,,,,,,,,,,2,60,yes,,,,,,,,asphalt,,
4692569,,,,60,2,asphalt,,way/4692569,,,,,,,,,,2,60,yes,,,,,,,,asphalt,,
4692570,no,,,,2,asphalt,,way/4692570,no,,,,,no,,,,2,,yes,,,,,,,,asphalt,,
4692722,no,,,100,1,,,way/4692722,no,,,,,,,,,1,100,yes,,,,,,,,,,
4692724,no,,,60,1,,,way/4692724,no,,,,,,,,,1,60,yes,,,,,,,,,,
4700129,,,,,,paved,,way/4700129,,,,,,,,,,,,,,,,,,,,paved,,
4700130,,,,,2,asphalt,,way/4700130,,,,,,,,,,2,,,,,,,,,,asphalt,,
4700134,,,,40,2,asphalt,,way/4700134,,,,,,,,,,2,40,,,,,,,,,asphalt,,
4700136,,,,50,,paved,,way/4700136,,,,,,,,,,,50,,,,,,,,,paved,,
4700138,,,,,,paved,,way/4700138,,,,,,,,,,,,,,,,,,,,paved,,
4700140,,,,40,,asphalt,,way/4700140,,,,,,,,,,,40,,,,,,,,,asphalt,,
4700142,,,,,,paved,,way/4700142,,,,,,,,,,,,,,,,,,,,paved,,
4700146,,,,50,,paved,,way/4700146,,,,,,,,,,,50,,,,,,,,,paved,,
4701211,,,,,,asphalt,,way/4701211,,,,,,,,,,,,,,,,,,,,asphalt,,
4703979,,,,,,paved,,way/4703979,,,,,,,,,,,,,,,,,,,,paved,,
4703987,no,,,60,2,asphalt,,way/4703987,,,,,,no,,,,2,60,,,,,,,,,asphalt,,
4703991,,,,60,2,asphalt,,way/4703991,,,,,,,,,,2,60,,,,,,,,,asphalt,,
4704216,no,,,50,,asphalt,,way/4704216,,,,,,no,,,,,50,,,,,,,,,asphalt,,
4707920,no,,,60,4,asphalt,,way/4707920,,,,,,no,,,,4,60,,,,,,,,,asphalt,,
4709558,,,,,1,asphalt,,way/4709558,,,,,,,,,,1,,,,,,,,,,asphalt,,
4709559,,,,,,asphalt,,way/4709559,,,,,,,,,,,,,,,,,,,,asphalt,,
4709561,yes,,,,2,,,way/4709561,yes,,,,,,,,,2,,yes,,,,,,,,,,
4709572,no,,,,,asphalt,,way/4709572,,,,,,no,,,,,,,,,,,,,,asphalt,,
4709598,no,,,50,,paved,,way/4709598,,,,,,no,,,,,50,,,,,,,,,paved,,
4709600,,,,60,,asphalt,,way/4709600,,,,,,,,,,,60,,,,,,,,,asphalt,,
4709620,no,,,50,,paved,,way/4709620,,,,,,no,,,,,50,yes,,,,,,,,paved,,
4709621,no,,,50,,paved,,way/4709621,,,,,,no,,,,,50,yes,,,,,,,,paved,,
4709626,no,,,,1,paved,,way/4709626,,,,,,no,,,,1,,yes,,,,,,,,paved,,
4709627,no,,,50,,paved,,way/4709627,,,,,,no,,,,,50,,,,,,,,,paved,,
4709628,no,,,,,paved,,way/4709628,,,,,,no,,,,,,,,,,,,,,paved,,
4709631,no,,,50,,paved,,way/4709631,,,,,,no,,,,,50,,,,,,,,,paved,,
4709632,no,,,50,,paved,,way/4709632,,,,,,no,,,,,50,,,,,,,,,paved,,
4709633,no,,,,,asphalt,,way/4709633,,,,,,no,,,,,,,,,,,,,,asphalt,,
4709635,no,,,60,,asphalt,,way/4709635,,,,,,no,,,,,60,yes,,,,,,,,asphalt,,
4709636,,,,,,paved,,way/4709636,,,,,,,,,,,,,,,,,,,,paved,,
4709637,no,,,50,,paved,,way/4709637,,,,,,no,,,,,50,,,,,,,,,paved,,
4709638,no,,,50,,paved,,way/4709638,,,,,,no,,,,,50,,,,,,,,,paved,,
4709639,no,,,50,,paved,,way/4709639,,,,,,no,,,,,50,,,,,,,,,paved,,
4709673,no,,,60,,paved,,way/4709673,,,,,,no,,,,,60,,,,,,,,,paved,,
4712576,,,,40,2,asphalt,,way/4712576,,,,,,,,,,2,40,,,,,,,,,asphalt,,
4712590,,,,,2,paved,,way/4712590,,,,,,,,,,2,,,,,,,,,,paved,,
4712592,,,,,,paved,,way/4712592,,,,,,,,,,,,,,,,,,,,paved,,
4712629,no,,,70,5,asphalt,,way/4712629,yes,,,,,no,,,,5,70,yes,,,,,,,,asphalt,,
4712630,no,,,60,,asphalt,,way/4712630,,,,,,no,,,,,60,,,,,,,,,asphalt,,
4712631,no,,,50,,asphalt,,way/4712631,,,,,,no,,,,,50,,,,,,,,,asphalt,,
4712632,no,,,60,2,asphalt,,way/4712632,,,,,,no,,,,2,60,,,,,,,,,asphalt,,
4712633,,,,,,asphalt,,way/4712633,,,,,,,,,,,,,,,,,,,,asphalt,,
4712634,,,,,,asphalt,,way/4712634,,,,,,,,,,,,,,,,,,,,asphalt,,
4712635,,,,,,paved,,way/4712635,,,,,,,,,,,,,,,,,,,,paved,,
4712636,,,,,,paved,,way/4712636,,,,,,,,,,,,,,,,,,,,paved,,
4712637,,,,40,,paved,,way/4712637,,,,,,,,,,,40,,,,,,,,,paved,,
4716052,no,,,50,,asphalt,,way/4716052,yes,,,,,no,,,,,50,,,,,,,,,asphalt,,
4716054,no,,,,,paved,,way/4716054,,,,,,no,,,,,,,,,,,,,,paved,,
4716055,no,,,,,paved,,way/4716055,,,,,,no,,,,,,,,,,,,,,paved,,
4716056,no,,,50,,paved,,way/4716056,,,,,,no,,,,,50,yes,,,,,,,,paved,,
4716057,no,,,50,,paved,,way/4716057,,,,,,no,,,,,50,,,,,,,,,paved,,
4716131,no,,,50,,paved,,way/4716131,,,,,,no,,,,,50,,,,,,,,,paved,,
4716132,no,,,,,paved,,way/4716132,,,,,,no,,,,,,yes,,,,,,,,paved,,
4716133,,,,50,,paved,,way/4716133,,,,,,,,,,,50,,,,,,,,,paved,,
4720765,,,,,1,asphalt,,way/4720765,,,,,,,,,,1,,yes,,,,,,,,asphalt,,
4720780,,,,,,paved,,way/4720780,,,,,,,,,,,,,,,,,,,,paved,,
4720792,no,,,,,paved,,way/4720792,,,,,,no,,,,,,,,,,,,,,paved,,
4720803,,,,,,paved,,way/4720803,,,,,,,,,,,,,,,,,,,,paved,,
4720805,,,,,,paved,,way/4720805,,,,,,,,,,,,,,,,,,,,paved,,
4720830,no,,,,,asphalt,,way/4720830,,,,,,no,,,,,,,,,,,,,,asphalt,,
4720831,no,,,,,asphalt,,way/4720831,,,,,,no,,,,,,,,,,,,,,asphalt,,
4720833,,,,50,,paved,,way/4720833,,,,,,,,,,,50,,,,,,,,,paved,,
4720835,,,,,,asphalt,,way/4720835,,,,,,,,,,,,,,,,,,,,asphalt,,
4729347,no,,,,,paved,,way/4729347,,,,,,no,,,,,,,,,,,,,,paved,,
4734832,no,,,60,5,asphalt,,way/4734832,,,,,,no,,,,5,60,,,,,,,,,asphalt,,
4734834,no,,,,,asphalt,,way/4734834,,,,,,no,,,,,,yes,,,,,,,,asphalt,,
4734845,no,,,50,,paved,,way/4734845,,,,,,no,,,,,50,,,,,,,,,paved,,
4742597,no,,,60,3,asphalt,,way/4742597,,,,,,no,,,,3,60,yes,,,,,,,,asphalt,,
4742605,no,no,,70,4,asphalt,,way/4742605,yes,,,,,,,no,,4,70,yes,,,,,,,no,asphalt,,
4742626,no,,,40,2,asphalt,,way/4742626,,,,,,no,,,,2,40,yes,,,,,,,,asphalt,,
4745063,no,,,50,,paved,,way/4745063,,,,,,no,,,,,50,,,,,,,,,paved,,
4745064,no,,,40,,asphalt,8.5,way/4745064,,,,,,no,,,,,40,,,,,,,,,asphalt,,8.5
4745157,no,,,40,,paved,,way/4745157,,,,,,no,,,,,40,,,,,,,,,paved,,
4745177,lane,,,60,2,asphalt,,way/4745177,,,,,,lane,,,,2,60,,,,,,,,,asphalt,,
4745190,lane,,,50,2,asphalt,,way/4745190,yes,,,,,lane,,,,2,50,,,,,,,,,asphalt,,
4745196,no,,,40,,asphalt,,way/4745196,,,,,,no,,,,,40,,,,,,,,,asphalt,,
4745398,no,,,60,3,asphalt,,way/4745398,,,,,,no,,,,3,60,yes,,,,,,,,asphalt,,
4745432,no,,,,2,asphalt,,way/4745432,,,,,,no,,,,2,,yes,,,,,,,,asphalt,,
4748064,,,,60,2,asphalt,,way/4748064,,,,,,,,,,2,60,yes,,,,,,,,asphalt,,
4748069,no,,,60,3,asphalt,,way/4748069,,,,,,no,,,,3,60,no,,,,,,,,asphalt,,
4748079,lane,,,60,2,asphalt,,way/4748079,,,,,,lane,,,,2,60,,,,,,,,,asphalt,,
4748208,,,,60,2,paved,,way/4748208,,,,,,,,,,2,60,yes,,,,,,,,paved,,
4748276,,,,,,paved,,way/4748276,,,,,,,,,,,,,,,,,,,,paved,,
4748277,no,,,50,,paved,,way/4748277,yes,,,,no,,,,,,50,no,,,,,,,,paved,,
4748278,no,,,50,,paved,,way/4748278,yes,,,,no,,,,,,50,no,,,,,,,,paved,,
4748279,no,,,50,,paved,,way/4748279,yes,,,,no,,,,,,50,no,,,,,,,,paved,,
4749324,no,,,,,asphalt,,way/4749324,yes,,,,,no,,,,,,yes,,,,,,,,asphalt,,
4749326,no,no,no,60,2,,,way/4749326,yes,,,,,no,,,,2,60,yes,,no,,,,,no,,,
4749330,no,,,60,3,asphalt,,way/4749330,yes,,,,,no,,,,3,60,yes,,,,,,,,asphalt,,
4749338,no,,,60,2,asphalt,,way/4749338,yes,,,,,no,,,,2,60,yes,,,,,,,,asphalt,,
4749344,no,,,,1,asphalt,,way/4749344,,,,,,,,no,,1,,yes,,,,,,,,asphalt,,
4749347,no,,,,,asphalt,,way/4749347,,,,,,no,,,,,,yes,,,,,,,,asphalt,,
4749348,no,,,,1,asphalt,,way/4749348,,,,,,,,no,,1,,yes,,,,,,,,asphalt,,
4749351,no,,,30,,paved,,way/4749351,,,,,,no,,,,,30,yes,,,,,,,,paved,,
4749356,no,,,30,,asphalt,,way/4749356,,,,,,no,,,,,30,,,,,,,,,asphalt,,
4749357,no,,,30,,paved,,way/4749357,,,,,,no,,,,,30,yes,,,,,,,,paved,,
4749363,no,,,30,,paved,,way/4749363,yes,,,,,no,,,,,30,,,,,,,,,paved,,
4749366,no,,,30,,paved,,way/4749366,,,,,,no,,,,,30,,,,,,,,,paved,,
4749367,no,,,30,2,paved,,way/4749367,yes,,,,,no,,,,2,30,,,,,,,,,paved,,
4749368,no,,,70,4,asphalt,,way/4749368,yes,,,,,no,,,,4,70,yes,,,,,,,,asphalt,,
4749369,no,,,30,1,paved,,way/4749369,,,,,,no,,,,1,30,yes,,,,,,,,paved,,
4749371,no,,,30,2,paved,,way/4749371,,,,,,no,,,,2,30,yes,,,,,,,,paved,,
4749373,lane,,,30,,paved,,way/4749373,,,,,,lane,,,,,30,,,,,,,,,paved,,
4749380,,,,60,,asphalt,,way/4749380,,,,,,,,,,,60,,,,,,,,,asphalt,,
4749386,no,,,60,1,asphalt,,way/4749386,,,,,,no,,,,1,60,yes,,,,,,,,asphalt,,
4749391,no,,,60,2,paved,,way/4749391,,,,,,no,,,,2,60,yes,,,,,,,,paved,,
4749394,no,,,80,1,,,way/4749394,no,,,,,,,,,1,80,yes,,,,,,,,,,
4749399,,,,,,paved,,way/4749399,,,,,,,,,,,,,,,,,,,,paved,,
4749401,,,,60,1,asphalt,,way/4749401,,,,,,,,,,1,60,yes,,,,,,,,asphalt,,
4749403,,,,50,,paved,,way/4749403,,,,,,,,,,,50,,,,,,,,,paved,,
4749408,,,,,,paved,,way/4749408,,,,,,,,,,,,,,,,,,,,paved,,
4749409,,,,,,paved,,way/4749409,,,,,,,,,,,,,,,,,,,,paved,,
4749410,no,,,,,asphalt,,way/4749410,,,,,,no,,,,,,,,,,,,,,asphalt,,
4749412,,,,,,asphalt,,way/4749412,,,,,,,,,,,,,,,,,,,,asphalt,,
4749414,,,,,,paved,,way/4749414,,,,,,,,,,,,,,,,,,,,paved,,
4749415,,,,,,paved,,way/4749415,,,,,,,,,,,,,,,,,,,,paved,,
4749418,,,,50,,paved,,way/4749418,,,,,,,,,,,50,,,,,,,,,paved,,
4749419,,,,50,,asphalt,,way/4749419,,,,,,,,,,,50,,,,,,,,,asphalt,,
4749420,,,,,,paved,,way/4749420,,,,,,,,,,,,,,,,,,,,paved,,
4749421,,,,,,paved,,way/4749421,,,,,,,,,,,,,,,,,,,,paved,,
4749422,,,,,,paved,,way/4749422,,,,,,,,,,,,,,,,,,,,paved,,
4749423,,,,,,asphalt,,way/4749423,,,,,,,,,,,,,,,,,,,,asphalt,,
4749424,,,,,,paved,,way/4749424,,,,,,,,,,,,,,,,,,,,paved,,
4749425,no,,,,,asphalt,,way/4749425,,,,,,no,,,,,,,,,,,,,,asphalt,,
4749426,,,,,,asphalt,,way/4749426,,,,,,,,,,,,,,,,,,,,asphalt,,
4749428,,,,,,paved,,way/4749428,,,,,,,,,,,,yes,,,,,,,,paved,,
4749429,,,,,,paved,,way/4749429,,,,,,,,,,,,,,,,,,,,paved,,
4749430,,,,,,paved,,way/4749430,,,,,,,,,,,,,,,,,,,,paved,,
4749433,no,,,,,paved,,way/4749433,,,,,,no,,,,,,,,,,,,,,paved,,
4749434,,,,,,asphalt,,way/4749434,,,,,,,,,,,,,,,,,,,,asphalt,,
4749435,,,,,,paved,,way/4749435,,,,,,,,,,,,,,,,,,,,paved,,
4749437,,,,,,paved,,way/4749437,,,,,,,,,,,,,,,,,,,,paved,,
4749440,,,,,,paved,,way/4749440,,,,,,,,,,,,,,,,,,,,paved,,
4749441,,,,,,paved,,way/4749441,,,,,,,,,,,,,,,,,,,,paved,,
4749446,,,,,,paved,,way/4749446,,,,,,,,,,,,,,,,,,,,paved,,
4749447,no,,,,,paved,,way/4749447,,,,,,no,,,,,,,,,,,,,,paved,,
4749448,,,,,,paved,,way/4749448,,,,,,,,,,,,,,,,,,,,paved,,
4749449,,,,,,paved,,way/4749449,,,,,,,,,,,,,,,,,,,,paved,,
4749454,,,,,,paved,,way/4749454,,,,,,,,,,,,,,,,,,,,paved,,
4749458,,,,,,paved,,way/4749458,,,,,,,,,,,,,,,,,,,,paved,,
4749460,,,,,,paved,,way/4749460,,,,,,,,,,,,,,,,,,,,paved,,
4749461,,,,,,paved,,way/4749461,,,,,,,,,,,,,,,,,,,,paved,,
4749462,,,,,,paved,,way/4749462,,,,,,,,,,,,,,,,,,,,paved,,
4749463,,,,,,paved,,way/4749463,,,,,,,,,,,,,,,,,,,,paved,,
4749464,,,,,,paved,,way/4749464,,,,,,,,,,,,,,,,,,,,paved,,
4749465,,,,,,paved,,way/4749465,,,,,,,,,,,,,,,,,,,,paved,,
4749466,,,,50,,asphalt,,way/4749466,,,,,,,,,,,50,yes,,,,,,,,asphalt,,
4749467,,,,50,,paved,,way/4749467,,,,,,,,,,,50,yes,,,,,,,,paved,,
4749475,,,,,,paved,,way/4749475,,,,,,,,,,,,,,,,,,,,paved,,
4749477,,,,,,paved,,way/4749477,,,,,,,,,,,,,,,,,,,,paved,,
4749479,,,,50,,,,way/4749479,,,,,,,,,,,50,yes,,,,,,,,,,
4749480,,,,50,,paved,,way/4749480,,,,,,,,,,,50,,,,,,,,,paved,,
4749777,,,,,,paved,,way/4749777,,,,,,,,,,,,,,,,,,,,paved,,
4749782,,,,,,paved,,way/4749782,,,,,,,,,,,,,,,,,,,,paved,,
4749846,,,,50,,paved,,way/4749846,,,,,,,,,,,50,,,,,,,,,paved,,
4749849,,,,50,,paved,,way/4749849,,,,,,,,,,,50,,,,,,,,,paved,,
4749851,,,,,,paved,,way/4749851,,,,,,,,,,,,,,,,,,,,paved,,
4749853,,,,,,paved,,way/4749853,,,,,,,,,,,,,,,,,,,,paved,,
4749854,,,,50,,paved,,way/4749854,,,,,,,,,,,50,,,,,,,,,paved,,
4749857,,,,,,asphalt,,way/4749857,,,,,,,,,,,,,,,,,,,,asphalt,,
4749860,,,,,,paved,,way/4749860,,,,,,,,,,,,,,,,,,,,paved,,
4749863,,,,50,,paved,,way/4749863,,,,,,,,,,,50,,,,,,,,,paved,,
4749865,,,,,,paved,,way/4749865,,,,,,,,,,,,,,,,,,,,paved,,
4749870,,,,,,paved,,way/4749870,,,,,,,,,,,,,,,,,,,,paved,,
4749874,,,,,,paved,,way/4749874,,,,,,,,,,,,,,,,,,,,paved,,
4749884,,,,50,,paved,,way/4749884,,,,,,,,,,,50,,,,,,,,,paved,,
4749894,,,,50,,paved,,way/4749894,,,,,,,,,,,50,,,,,,,,,paved,,
4749895,,,,50,,paved,,way/4749895,,,,,,,,,,,50,,,,,,,,,paved,,
4749896,,,,50,,paved,,way/4749896,,,,,,,,,,,50,,,,,,,,,paved,,
4749897,,,,50,,asphalt,,way/4749897,,,,,,,,,,,50,,,,,,,,,asphalt,,
4749898,,,,50,,paved,,way/4749898,,,,,,,,,,,50,,,,,,,,,paved,,
4749899,,,,50,,paved,,way/4749899,,,,,,,,,,,50,,,,,,,,,paved,,
4749900,,,,50,,paved,,way/4749900,,,,,,,,,,,50,,,,,,,,,paved,,
4749904,,,,50,,paved,,way/4749904,,,,,,,,,,,50,,,,,,,,,paved,,
4749905,,,,50,,paved,,way/4749905,,,,,,,,,,,50,,,,,,,,,paved,,
4749907,,,,50,,paved,,way/4749907,,,,,,,,,,,50,,,,,,,,,paved,,
4749909,,,,50,,paved,,way/4749909,,,,,,,,,,,50,,,,,,,,,paved,,
4749924,,,,50,,paved,,way/4749924,,,,,,,,,,,50,,,,,,,,,paved,,
4749925,,,,50,,paved,,way/4749925,,,,,,,,,,,50,,,,,,,,,paved,,
4749926,,,,50,,paved,,way/4749926,,,,,,,,,,,50,,,,,,,,,paved,,
4749927,,,,,,paved,,way/4749927,,,,,,,,,,,,,,,,,,,,paved,,
4753524,no,,,50,,paved,,way/4753524,,,,,,no,,,,,50,,,,,,,,,paved,,
4753525,no,,,50,,paved,,way/4753525,,,,,,no,,,,,50,,,,,,,,,paved,,
4758545,,,,,,paved,,way/4758545,,,,,,,,,,,,yes,,,,,,,,paved,,
4758982,no,,,40,,paved,,way/4758982,,,,,,no,,,,,40,,,,,,,,,paved,,
4758996,,,,40,,paved,,way/4758996,,,,,,,,,,,40,,,,,,,,,paved,,
4759017,no,,,40,,asphalt,,way/4759017,,,,,,no,,,,,40,,,,,,,,,asphalt,,
4759018,no,,,40,,asphalt,,way/4759018,,,,,,no,,,,,40,,,,,,,,,asphalt,,
4759019,no,,,40,,asphalt,,way/4759019,,,,,,no,,,,,40,,,,,,,,,asphalt,,
4759021,no,,,60,5,asphalt,,way/4759021,yes,,,,,no,,,,5,60,,,,,,,,,asphalt,,
4759022,no,,,60,5,,,way/4759022,yes,,,,,no,,,,5,60,,,,,,,,,,,
4759024,no,,,80,2,asphalt,,way/4759024,no,,,,,,,,,2,80,yes,,,,,,,,asphalt,,
4759025,no,,,80,4,asphalt,,way/4759025,no,,,,,,,,,4,80,yes,,,,,,,,asphalt,,
4759032,no,,,60,2,asphalt,,way/4759032,no,,,,,,,,,2,60,yes,,,,,,,,asphalt,,
4761465,no,,,80,3,asphalt,,way/4761465,no,,,,,no,,,,3,80,yes,,,,,,,,asphalt,,
4793462,no,,,40,,paved,,way/4793462,,,,,,no,,,,,40,,,,,,,,,paved,,
4816917,no,,,50,,asphalt,,way/4816917,,,,,,no,,,,,50,,,,,,,,,asphalt,,
4817010,no,,,60,2,asphalt,,way/4817010,,,,,,,,no,,2,60,yes,,,,,,,,asphalt,,
4817015,no,,,60,1,asphalt,,way/4817015,,,,,,no,,,,1,60,yes,,,,,,,,asphalt,,
4817122,no,,,,2,asphalt,,way/4817122,yes,,,,,no,,,,2,,,,,,,,,,asphalt,,
4817149,no,,,,,asphalt,,way/4817149,,,,,,no,,,,,,,,,,,,,,asphalt,,
4817161,no,,,40,,paved,,way/4817161,,,,,,no,,,,,40,yes,,,,,,,,paved,,
4817165,lane,,,,,asphalt,,way/4817165,,,,,,,,lane,,,,,,,,,,,,asphalt,,
4817169,shared_lane,,,40,,paved,,way/4817169,,,,,,shared_lane,,,,,40,,,,,,,,,paved,,
4817170,no,,,40,,paved,,way/4817170,,,,,,no,,,,,40,,,,,,,,,paved,,
4817173,shared_lane,,,,,paved,,way/4817173,,,,,,shared_lane,,,,,,,,,,,,,,paved,,
4817205,no,,,,2,paved,,way/4817205,,,,,,no,,,,2,,,,,,,,,,paved,,
4817208,,,,,,paved,,way/4817208,,,,,,,,,,,,,,,,,,,,paved,,
4817222,,,yes,,2,asphalt,,way/4817222,,,,,,,,,,2,,,,lane,,,,,,asphalt,,
4817224,,,yes,,2,asphalt,,way/4817224,,,,,,,,,,2,,,,lane,,,,,,asphalt,,
4817231,,,,,2,paved,,way/4817231,,,,,,,,,,2,,,,,,,,,,paved,,
4817232,,,,,2,paved,,way/4817232,,,,,,,,,,2,,,,,,,,,,paved,,
4817233,,,,,2,paved,,way/4817233,,,,,,,,,,2,,,,,,,,,,paved,,
4817235,,,,,2,paved,,way/4817235,,,,,,,,,,2,,,,,,,,,,paved,,
4817237,,,,,2,paved,,way/4817237,,,,,,,,,,2,,,,,,,,,,paved,,
4817238,,,,,2,paved,,way/4817238,,,,,,,,,,2,,,,,,,,,,paved,,
4817239,,,yes,,2,asphalt,,way/4817239,,,,,,,,,,2,,,,lane,,,,,,asphalt,,
4817240,,,yes,,2,paved,,way/4817240,,,,,,,,,,2,,,,lane,,,,,,paved,,
4817241,,,yes,,2,paved,,way/4817241,,,,,,,,,,2,,,,lane,,,,,,paved,,
4817242,,,,,2,paved,,way/4817242,,,,,,,,,,2,,,,,,,,,,paved,,
4817243,,,yes,,2,concrete,,way/4817243,,,,,,,,,,2,,,,lane,,,,,,concrete,,
4817244,,,yes,,2,concrete,,way/4817244,,,,,,,,,,2,,,,lane,,,,,,concrete,,
